suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
Eight Mile Plains|635000|458000|0.72|45177|31500|3.9|25|20|0||0|0||0|0|0|3|2|2|0| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3851960|"Cosy Lifestyle, Easy Income
              "|- Perfectly located in in the highly-sought after suburb of Eight Mile Plains|" 
                       "|Yes| 3 months ago.|3851960|2018-08-28
Acacia Ridge|783200|325000|0.41|91633|53097|5|25|19|0||0|0||0|0|0|3|1|2|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/AcaciaRidge-QLD-3864278|"Easy and Safe Permanent Management Rights in Brisbane Southside
              "|- Great Location|" 
                       "|No| 6 months ago.|3864278|2018-08-28
Springwood|1070000|325000|0.3|140010|70599|4.8|0|19|0||0|0|45|0|0|0|2|0|0|1| None| Next International Realty Pty Ltd|Patrick Leou - David Janett|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Springwood-QLD-3882644|"Can live Offsite!!
              "|Live Onsite or Offsite, the choice is yours!|" 
                       "|No| 6 days ago.|3882644|2018-08-28
Deception Bay|1380000|360000|0.26|212700|110391|4.8|25|20|10|80|1379.89|0|54|1894.61|0|0|3|2|1|1| NONE| SIRE Management Rights|Richard  Jessica|" - Low maintenance complex- Easy to operate
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/DeceptionBay-QLD-3877293|"Perfect Location, Great Business Opportunity!
              "|- Easy to run business|" 3 Beds, 2.5 Baths, SLUG, Private Courtyard
                       "|No| 4 months ago.|3877293|2018-08-28
Zillmere|1250000|370000|0.3|204943|173245|4.3|10|10|21|175|989.97|133|26|1219.15|0|16|3|1|4|1| No set office hours| Management Rights Sales|Greg Jorgensen|" Solar heated pool, Spa, Full tennis court, BBQ, Covered poolside entertaining area, CCTV, Childrens pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Zillmere-QLD-3867941|"PARKLANDS ADJOINS THIS NORTH BRISBANE URBAN VILLAGE - ID 8695
              "|Permanent Villa & Townhouse Management Rights|" Single level brick villa, Open plan design, Large outdoor covered entertaining area
                       "|Yes| 2 months ago.|3867941|2018-08-28
Annerley|170000|0|0|55000|25000|3.1|25|25|0|22|1136.36|1|16|1875|0|0|0|0|0|0| | Joy Realty|Robert Lin|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Annerley-QLD-3873480|"Business only, no unit buy
              "|No need to purchase manager unit|" 
                       "|No| 2 weeks ago.|3873480|2018-08-28
West End|2150000|700000|0.33|271397|163283|5.3|25|25|0|110|1484.39|73|35|3088.97|0|2|2|2|1|0| No set office hours| Resort Brokers|Jessica  Wilkie|" Pool, BBQ, Gym, Foxtel
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3879050|"Priced To Sell - 5.3X, Iconic West End Luxury Riverfront Building | Resort Brokers ID : MR005284
              "|Generous Body Corporate Salary of $163,283 and a manageable 35 units in the letting pool which combines a flexible lifestyle and secure net income of $272k. Reside onsite in this 147sqm luxuriously appointed 2 bedroom, 2 bathroom ground floor manager's unit with NO SET OFFICE HOURS. You will be working with a proactive Body Corporate&Committee and be buying brand new agreements with 24 years remaining. This property is in the highly desirable State High Catchment Zone. MUST SELL, ENQUIRE TODAY!|" two bedrooms, two bathrooms, one carpark, high level finishes, marble bench tops, best appliances, clothes dryer, microwave, ducted air-conditioning, electronic security card access, CCTV camera.
                       "|yes| 3 months ago.|3879050|2018-08-28
Richlands|2385000|760000|0.32|300800|123676|5.4|25|23|9|103|1200.74|14|83|2134.02|0|6|6|6|3|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3871169|"Permanent, Big Nett Income, Big Remuneration in Brisbane Southwest Suburb
              "|Richlands is situated approximately 15 kilometres from the Brisbane CBD and occupies a prime position within South East Queenslands western growth corridor, arguably one of the south-western corridors most accessible suburbs. Richlands is located at the cross over of the Ipswich Motorway M7, Centenary Motorway M5 and direct access to the Logan Motorway, Brisbane Airport and the Port of Brisbane.|" 
                       "|No| 2 months ago.|3871169|2018-08-28
Runcorn|135000|0|0|27832|0|4.3|0|0|0||0|0||0|0|0|0|0|0|0| none| Next International Realty Pty Ltd|David Janett|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Runcorn-QLD-3875010|"Perfect Small Business Only Add on Management Rights Runcorn!
              "|Ideally located is this quiet and peaceful complex, the units fresh and modern. With the city bus (150, 153, N154, 156&P157) only 400m away and a huge council parkland at the front of the complex, residents have never had so much room to run around! This townhouse complex is well maintained and has one to one of the most popular with renters in Runcorn! |" 
                       "|No| 3 months ago.|3875010|2018-08-28
West End|0|750000||140536|81318|4.8|25|21|0||0|0||0|0|0|2|2|2|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3875746|"Quality Life and Permanent Management Rights
              "|Perfectly located in the prestigious heart of West End, sought after nature environment for quality lifestyle, walking distance to South Bank Park and CBD in 15 - 20 minutes|" 
                       "|No| 1 month ago.|3875746|2018-08-28
West End|590000|0|0|111713|43600|5.3|25|24|0||0|0||0|0|0|0|0|0|0| None| Next International Realty Pty Ltd|David Jiang - David Janett|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3878686|"Business Only Management Rights in West End
              "|Prime Location|" 
                       "|No| 2 months ago.|3878686|2018-08-28
Kuraby|0|360000||133000|54000|4.8|25|20|0||0|0|34|0|0|0|3|1|1|1| No| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Kuraby-qld-3874217|"Not Required to Live Onsite! Great complex with excellent return on investment
              "|Be the first one to see this wonderfully management rights in the ever popular location. If you want to live in a spacious family home, this is an opportunity not be missed!|" 
                       "|No| 6 months ago.|3874217|2018-08-28
Collingwood Park|1105000|240000|0.22|173000|101361|5|25|23|25||0|0|50|0|0|7|2|1|2|1| No set office hour| Shine Realty|Celine Tseng|" Pool, Fitness area
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CollingwoodPark-QLD-3882348|"Good income with balanced lifestyle
              "|This beautiful, peaceful complex is located in a very convenient area close to local parks, schools, and shopping centres. It's only a 10 minute drive to the new Costco warehouse which will open in late 2018. The easily maintained complex is currently run by one person and this is its first time on the market in 13 years. Quiet and well-manicured, it features a 23 year agreement and great Body Corp. It won't stay on the market for long. Call Celine today to request further information or book your inspection. |" 2 bedrooms, 1 bathroom, 2 toilets, townhouse
                       "|No| 2 weeks ago.|3882348|2018-08-28
Beenleigh|499|320000|641.28|66000|74112|2.7|25|7|0|64|0|9||0|0|45|2|2|3|1| N/A| Joy Realty|Robert Lin|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Beenleigh-QLD-3783422|"Caretaking Only Perfect life Style Management Rights
              "|Current managers have done all the hard work |" 
                       "|No| 2 weeks ago.|3783422|2018-08-28
Aspley|695000|500000|0.72|55000|44000|3.5|25|17|18|32|1375|19|11|1000|0|2|2|2|2|1| No set office hours| Management Rights Sales|Mark English|" Swimming pool, BBQ, Security parking
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3865413|"MASSIVE PRICE REDUCTION - NORTHSIDE PERMANENT : MANAGEMENT RIGHTS SALES - ID 8822
              "|MASSIVE PRICE REDUCTION|" Neat managers residence, Includes study, Private and secluded backyard
                       "|Yes| 2 months ago.|3865413|2018-08-28
Sinnamon Park|0|520000||135000|82040|5.4|25|22|0||0|0||0|0|0|4|2|2|1| As per agreements| Next International Realty Pty Ltd|Betty Jia|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SinnamonPark-QLD-3881920|"Resort living and Strong Growth Permanent Business!
              "|Resort-style complex, ideally located in the leafy, sought-after western suburb of Sinnamon Park for buyers looking for ultimate security and convenience to suit their lifestyle. |" 
                       "|No| 1 month ago.|3881920|2018-08-28
Macgregor|1250000|560000|0.45|132440|59098|5.2|25|25|0||0|0||0|0|0|3|2|2|1| None| Next International Realty Pty Ltd|David Jiang|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Macgregor-QLD-3841635|"Location! Location! Location!
              "|Prime Location|" 
                       "|No| 6 months ago.|3841635|2018-08-28
Moorooka|965|435000|450.78|106195|72562|5|25|22|0|39|1860.56|22|14|2402.36|0|3|3|2|3|1| | Joy Realty|Serena Ruan|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Moorooka-QLD-3860815|"Moorooka Management Rights
              "|Highly Supportive Body Corporate Committee |" 
                       "|Yes| 2 weeks ago.|3860815|2018-08-28
Kelvin Grove|2230000|580000|0.26|300000|118000||25|23|2|118|1000|27|76|2394.74|0|15|2|2|0|0| nil| Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/KelvinGrove-QLD-3861097|"LARGE BEAUTIFUL PERMANENT COMPLEX - KELVIN GROVE
              "|The developer has an expectation of offers from $2,230,000|" The managers unit is a 2 bed 2 bath unit that is large with a huge court yard. There is 3 car parks on title 21 storage units that can be let out. Income from storage units not included.
                       "|Yes| 2 months ago.|3861097|2018-08-28
UPPER MOUNT GRAVATT|1717016|530000|0.31|215821|67160|5.5|25|25|9|58|1157.93|15|42|3539.55|0|1|3|2|2|1| | Joy Realty|Robert Lin|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/UPPERMOUNTGRAVATT-qld-3795510|"This business has all characters you look for
              "|Net Income: $215,821 (actual)|" 
                       "|No| 2 weeks ago.|3795510|2018-08-28
Bulimba|2123000|1078000|0.51|205000|138000|5.1|25|23|7|97|1422.68|54|30|2233.33|0|13|3|2|2|1| No set office hours||Brydon Halliday|" Resident exclusive amenities include 20m lap pool, pool side Barbeques, sun lounge area, gym, and visitor car parking. Beyond the complex, enjoy an easy stroll and the convenience to City Cat terminal, shopping, dining, parks, play grounds, sporting clubs and schools.Security video cameras located on all access areas with a master key system.Buildings are 3 storey walk up, with easy to maintain established quality gardens and grounds.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3877933|"Quality, Style, Location, Opportunity
              "|Management Rights are rarely sold in the prestigious suburb of Bulimba, and with a restricted number available this is definitely an opportunity to consider. |" Managers residence is a beautifully appointed Apartment. 3 bedrooms, 2 bathrooms, Ducted Air Conditioning, SMEG appliances, Stone bench tops, Large balcony, 2 car parks, privacy screens, Freshly Painted, Separate connecting office.This Apartment also features a front courtyard with street access for convenience.This well-appointed inner city apartment offers plenty of character charm with a great lifestyle hub in your backyard, it is everything you would expect from a premier suburb. The open plan design with high ceilings offers light filled interiors, centrally located kitchen, heaps of storage and a range of quality appliances. Living and entertaining areas ideal for year round entertaining including a large balcony.This stylishly appointed apartment is a private sanctuary with a good area of internal living space, a spacious open balcony, providing suburban home like space without the upkeep. Seamlessly transitioning through floor to ceiling sliding glass doors, the lounge opens onto the huge balcony.With built in benchs as you entertain with friends and family all season round.Three generously sized bedrooms are included in this property, both with built-in wardrobes, white plantation shutters and the master inclusive of a well appointed ensuite. This Apartment also offers secure parking side by side for two vehicles. Additionally there are 2 extra store rooms included.There is also lift access and intercom system. This complex is pet friendly and a short stroll to nearby Bulimba River Park with off leash dog area. Picturesque Bulimba is an outstanding postcode and offers the complete package. Bustling Oxford Street is close at hand, City Cat and bus services are within walking distance with services to the CBD.
                       "|Yes| 2 months ago.|3877933|2018-08-28
BARDON|1848800|650000|0.35|222000|102539|5.4|25|24|0|108|949.44|60|41|2913.68|0|0|2|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BARDON-QLD-3878261|"Near New at Bardon
              "|The developer has just finished this complex two stage, two Body Corporates, 23 and 24 years to run on agreements. All the hard work has been done|" 
                       "|Yes| 3 months ago.|3878261|2018-08-28
FORTITUDE VALLEY|998800|620000|0.62|87063|57768|4.4|25|22|0|44|1312.91|18|19|1541.84|0|0|3|0|0|1| | Raas Group|Peter Sagner|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/FORTITUDEVALLEY-QLD-3877909|"For those seeking the ideal lifestyle/work balance
              "|If you are looking for a three bedroom inner city apartment with a history of productive relationships, then we are pleased to offer the opportunity for inspection.  Aternatively rent out the apartment generate additional income and manage from offsite! This four story apartment complex has not been available to the market for ten years.|" 
                       "|Yes| 4 months ago.|3877909|2018-08-28
Norman Park|993000|580000|0.58|94000|49700|4.4|25|23|17|40|1242.5|13|23|1926.09|0|3|3|2|2|1| As Required||Adrian Wylde|" Fantastic opportunity to purchase the management rights and managerâs residence to a high-performing business that has seen substantial growth and improvement under the current management, yet still leaves significant upside potential for a new operator, Total of 40 apartments - 23 managed in the onsite letting pool, Well-maintained/spacious, light and airy three bedroom managerâs residence with private courtyard, Lengthy tenure to agreement with 23 years remaining on tenure,No set office hours,Excellent location in the heart of Norman Park, Standalone office and workshop on occupation, Several identifiable areas for future growth and improvement, Stylish and modern upgrade work recently completed in common areas, Low maintenance gardens, Easily run pool area, BC salary of \$49,700 with annual increase as per CPI for next 23 years
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/NormanPark-QLD-3878737|"Great Permanent Complex!!
              "||" Spacious 3 Bedroom Unit, with sizeable courtyard and deck! Wooden Floor in Dining\Entertainment Area.
                       "|Yes| 1 month ago.|3878737|2018-08-28
North Lakes|1275000|400000|0.31|158859|61897|5.5|25|25|0|56|1105.3|1|51|1901.22|0|3|3|2|2|1| | Joy Realty|Diana Hu|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/NorthLakes-qld-3660926|"Beautiful Complex with High Income
              "|North Lakes is one of the high end community that Moreton Bay Regional Council has announced they are expanding!  |" 
                       "|Yes| 2 weeks ago.|3660926|2018-08-28
Calamvale|600|450000|750|42446|42446|3.5|25|18|8|40|0|27||0|0|13|3|3|2|0| None Stated| Property Bridge|Bobo Qi|" A modern very low maintenance complex, No office to purchase.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Calamvale-QLD-3876107|"Caretaking Business
              "|Buy this business and townhouse for only $600,000.|" No Office, Townhouse Only, 3 Bedroom, 2 Bathroom, Powder Room, 2 Car Garage
                       "|Yes| 3 weeks ago.|3876107|2018-08-28
Wynnum West|930000|470000|0.51|95000|65000|4.8|25|22|18|40|1625|24|15|2000|0|1|3|2|2|1| none stated| Property Bridge|Bobo Qi|" Gated Townhouse Complex, Pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879557|"Lifestyle on the Bay
              "|This beautiful boutique bayside gated townhouse complex is five minutes away from the convenience of Wynnum Plaza and the waterfront.  |" Townhouse, Large back yard, 3 Bedroom, Spacious
                       "|Yes| 3 months ago.|3879557|2018-08-28
Algester|950000|430000|0.45|98000|73545|5.3|25|22|0||0|0|17|0|0|0|3|2|4|1| No set of office hours| Shine Realty|Celine Tseng|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Algester-QLD-3874135|"Solid income! Located in central Algester!
              "|This beautiful, nice and quiet complex positioned in central Algester and located in a top rental area. Surround by good transportation, direct bus to CBD, couple big shopping centres within 5 minutes drive. Close to school, park and shops. Its potential to increase the letting business. BC Salary will increase by 4% per annual. Ring today to book your inspection and you wont disappointed. |" 
                       "|Yes| 1 month ago.|3874135|2018-08-28
Albion|1460000|565000|0.39|172000|113166|5.2|25|20|0||0|0|28|0|0|0|2|2|1|1| | Shine Realty|Celine Tseng|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Albion-QLD-3878399|"Solid salary income! Vendor must sell!
              "|This is a stylish and beautifully-maintained complex in an excellent location a stone's throw from the Brisbane River. It's perfectly positioned in the heart of Albion and located in a top rental area. At only 4km from the Brisbane CBD, it's close to shops and retail, schools and supermarkets. This well-manicured complex has a solid salary income over 65% of net profit. Featuring a big potential for growth, it combines both a healthy income and leisurely lifestyle with the inner city suburb experience. Call our hotline today for more information or book your inspection. |" 
                       "|Yes| 1 month ago.|3878399|2018-08-28
Aspley|1068000|440000|0.41|113686|103447|5.5|25|24|0|84|1231.51|64|4|2559.75|0|16|3|2|1|0| No office hours required| Joy Realty|Rodney Li|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3880106|"Mostly caretaking, with potential of building up your lettings
              "|Unbeatable management right business with 84 units complex but only 4 letting pools to manage. No worry at all for losing lettings (but full potential to increase lettings from outside agents). You only need to take care of limited garden and a tiny swimming pool.|" 
                       "|No| 2 weeks ago.|3880106|2018-08-28
ALGESTER|1615000|540000|0.33|215000|80102|5|25|20|0|68|1177.97|22|45|2997.73|0|0|4|0|0|1| | Raas Group|Jim Prentice|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/ALGESTER-QLD-3880280|"MANAGEMENT RIGHTS.. HOME&BUSINESS OPPORTUNITY IN GREAT LOCATION
              "|THE BUSINESS consists of a 13 year old complex with just over 65% of the units in the Manager's rental pool. Enquiries for rentals is steady with very little down-time and the mix of three and four bedroom units are popular with tenants.  The grounds have just been freshly mulched.  Exterior painting of the buildings is all but complete.  A fresh clean presentation of the complex and nothing major to do for the forseeable future. |" 
                       "|No| 1 month ago.|3880280|2018-08-28
Wynnum West|1123800|499000|0.44|153000|96707|4.1|25|15|15|18|5372.61|0|18|3127.39|0|0|3|2|1|1| Nil Listed||Tony Hajjar|" Secure Storage Shed and Hardstand Boat/Caravan Storage. Latest digital CCTV surveillance.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879883|"Relax and work from Home
              "|Bayside location. RELAX and work from home. ENJOY the comforts of living in a house not a townhouse or apartment. Single Level. No steps or elevators. Your own backyard, patio and courtyard. Child, grandchild and pet friendly.|" Spacious 3 bedroom house on large level , landscaped private back yard.
                       "|Yes| 1 week ago.|3879883|2018-08-28
Hillcrest|1030000|420000|0.41|133000|45600|4.6|24|24|3|38|1200|2|36|2427.78|0|0|3|2|2|1| | Management Rights Sales|Tony Johnson|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3881699|"QUALITY RESIDENCE FOR PERMANENT COMPLEX
              "|Phillip Usher Special|" 3 bedroom townhouse, 2 bathrooms, Private courtyard, Double lock up garage, Main bedroom with ensuite
                       "|No| 1 month ago.|3881699|2018-08-28
Gailes|1550000|410000|0.26|228000|84000|5|25|22|3|68|1235.29|1|67|2149.25|0|0|3|2|4|1| No set office hours| Management Rights Sales|Mark Neale|" Gym, Storage, CCTV, NBN
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Gailes-QLD-3879957|"HIGH INCOME - GREAT OPPORTUNITY : MANAGEMENT RIGHTS SALES - ID 8876
              "|Permanent Management Rights For Sale|" Stand alone townhouse, Air conditioning, Large outdoor area and back yard
                       "|Yes| 1 month ago.|3879957|2018-08-28
Deception Bay|1898000|378000|0.2|289588|107429|5.2|25|21|0||0|2|80|0|0|0|3|2|2|1| None| Next International Realty Pty Ltd|Jack Liu|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/DeceptionBay-QLD-3881850|"Big Nett Permanent, NO NEED TO LIVE ON SITE!
              "|Conveniently located in a strong rental area just a few minutes drive to the Deception Bay Shopping Centre and just 8kms to the mighty North Lakes Shopping Centre, 6kM to American retail giant Costcos and Bunnings new stores. These new stores require a large number of retail staff making Deception Bay a stronger than ever rental location|" 
                       "|No| 1 month ago.|3881850|2018-08-28
Carseldine|700000|460000|0.66|59348|47055|4|25|24|15|30|1568.5|19|10|1229.3|0|1|4|2|3|1| NIL| Raine & Horne Onsite Rights|Joanne Piercy|" Mainly Caretaking income with a small letting pool. The current manager is selling  due to family commitments.Located close to bus, trains, shops and quality schools and only 14 kilometres to the City. Very well maintained complex enabling a smooth transition for the incoming purchaser.Easy care grounds with everything centrally located for ease of operation.Perfect for mangers looking to downsize or for  new comers to the industry looking for a complex that will give them the experience required to buy a larger business later. There is no need to sell up and move as this complex could easily be run in conjunction  with an add on business.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Carseldine-QLD-3880117|"No Requirement to live on site
              "||" On offer with this business is an extremely appealing 4 bedroom Residence with a large private yard and covered alfresco area that will easily accommodate all of your extended family and friends. One of those rare management rights businesses that has a home that you will not want to leave. However for those who not wanting to live on site , the Residence is set up perfectly with a separate entrance to the office making it a very appealing rental proposition.
                       "|Yes| 2 months ago.|3880117|2018-08-28
Eight Mile Plains|540000|410000|0.76|37375|33207|3.5|25|16|0|16|2075.44|0|4|1042|0|0|3|2|1|1| No office hours required| Joy Realty|Kobe Xu|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881892|"Great Investement Opportunity at Eight Mile Plains
              "|This Complex is located at Eight Mile Plains, Only 3 minutes drive to Market Square Sunnybank|" 
                       "|No| 2 weeks ago.|3881892|2018-08-28
Bulimba|2123000|1078000|0.51|205000|141390|5.1|0|0|0|97|1457.63|54|30|2120.33|0|13|3|2|2|0| As per agreements| Management Rights Sales|Greg Jorgensen|" Swimming pools, BBQs, Security parking, Gym, Storage, Cable TV, CCTV, Broadband and Wi-Fi
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3883156|"QUALITY, STYLE, LOCATION, OPPORTUNITY - ID 8892
              "|Brisbane Management Rights For Sale|" Well appointed inner city town home, High quality design, Open plan, High ceilings, Ducted air conditioning, Smeg appliances, Large balcony
                       "|No| 1 month ago.|3883156|2018-08-28
SOUTH BRISBANE|890400|0|0|168000|118035|5.3|20|15|0|68|1735.81|25|20|2498.25|0|0|0|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SOUTHBRISBANE-QLD-3883603|"South Brisbane's Best Complex
              "|This magnificent complex is positioned in a very highly sought out location with stunning views of the South Bank Parklands and Brisbane River. Exotic out door dinning and so many restaurants to choose from, its no wonder why South Bank is a popular place to visit.|" 
                       "|Yes| 3 weeks ago.|3883603|2018-08-28
Brisbane City|1495000|420000|0.28|200800|76703|5.4|25|18|21|57|1345.67|6|43|2885.98|0|8|2|1|1|1| No set office hours| Shine Realty|Celine Tseng|" gym, spa, sauna
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrisbaneCity-QLD-3884222|"WELL CONNECTED AND EASY TO MAINTAIN!
              "|This unique complex is conveniently located in the heart of Brisbane. Surrounded by abundant shopping centres, easily accessible public transportation and parks, it makes for the perfect combination of business and city-living. Within a short walking distance to the Brisbane CBD. A matter of minutes to the Queen Street Mall, and the abundant entertainment and night-life options the central business district has to offer. This complex maintains consistently high tenancy and rental demand figures. Almost no gardening work whatsoever- the care-taking job is easy enough for one person to maintain. This is a great opportunity for the first time business operator, or for the experienced manager seeking an additional low-maintenance investment. It won't stay on the market for long- call Celine today on for further information or to book your inspection. |" 
                       "|No| 1 week ago.|3884222|2018-08-28
RIVERHILLS|510000|390000|0.76|40000|40000|3|25|21|0|26|1538.46|17|8|0|0|0|4|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/RIVERHILLS-QLD-3882875|"simple quiet complex
              "|Quiet hilltop location, good aspect. Minimum duties. Large managers unit. |" 
                       "|Yes| 1 month ago.|3882875|2018-08-28
Runcorn|1024000|369000|0.36|124000|71000|5.3|25|22|14|52|1365.38|22|27|1962.96|0|3|3|3|2|1| None| Property Bridge|Bobo Qi|" Pool
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Runcorn-QLD-3884399|"NO NEED TO LIVE ON SITE
              "|Close proximity to excellent shopping centres. |" Situated on a large block, 3 Bedroom, 3 Bathroom, 2 Car
                       "|Yes| 4 days ago.|3884399|2018-08-28
Carindale|1746000|587000|0.34|204000|133800|5.7|25|20|20|91|1470.33|51|39|1800|0|1|3|3|2|1| Mon, Wed, Fri| Property Bridge|Bobo Qi|" Awesome Location, Close to Westfield, Townhouse and Villas, Pool, BBQ, Function Room
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Carindale-QLD-3876714|"Superb Location
              "|This business offers a generous Body Corporate Salary.|" 
                       "|Yes| 1 month ago.|3876714|2018-08-28
HEMMANT|1010000|320000|0.32|154000|104181|4.5|25|19|0|82|1270.5|35|37|1346.46|0|0|3|0|0|1| | Raas Group|Peter Sagner|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/HEMMANT-QLD-3884668|"Hidden in Hemmant!
              "|Located in Hemmant only eleven kilometres from the Brisbane CBD and 15 minutes by train in the most picturesque location, this business boasts a secure salary with excellent inbuilt growth. This complex is adjacent to parkland, with train transport in walking distance and only five minutes by car to Wynnum Plaza. |" 
                       "|No| 2 days ago.|3884668|2018-08-28
REDCLIFFE|890000|495000|0.56|105000|62262|3.8|25|19|0|44|1415.05|15|21|2035.14|0|0|3|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/REDCLIFFE-QLD-3879381|"FOR SALE.. LIFE STYLE AND INCOME
              "|Due to personal family predicament the current manager who has been|" 
                       "|Yes| 3 months ago.|3879381|2018-08-28
Indooroopilly|1953485|606500|0.31|292823|124950|4.6|25|25|0|119|1050|0|83|2022.57|0|0|3|3|1|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Indooroopilly-QLD-3853755|"The Best of the West? OTP Complex in Indooroopilly | Resort Brokers ID : OTP004668
              "|Westside Indooroopilly is destined to be one of the jewel in the Brisbane Management Rights market. Arguably the best complex in the area in recent times netting well over $300k.|" 
                       "|no| 1 year ago.|3853755|2018-08-28
Teneriffe|1550000|900000|0.58|135384|106791|4.8|10|9|16|66|1618.05|0|10|2859.3|0|0|2|2|1|1| NO SET OFFICE HOURS| RCA Business Brokers|ROD ASKEW AND ERIC BRIZUELA|" SWIMMING POOL, BBQ AREA, SECURE PARKING
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Teneriffe-QLD-3881718|"ABSOLUTE RIVER FRONT WITH NO SET OFFICE HOURS.
              "|$135,384 Nett Income|" Very modern 2 bedroom main with ensuite, 2 bathroom, air conditioned large open living area, spacious apartment with Brisbane River views.
                       "|No| 1 month ago.|3881718|2018-08-28
Bulimba|1136817|469000|0.41|190805|128000|3.5|25|25|0|79|1620.25|0|26|2415.58|0|0|1|1|0|0| | Resort Brokers|Brent Staker|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3859644|"Great Value in Riverside Suburb with a 3.5 Multiplier | Resort Brokers ID : OTP004834
              "|Eastpark Bulimba is a brand new, low-rise management rights development in the, much desired, riverside suburb of Bulimba. This premium apartment complex, constructed by reputable developer DeLuca, consists of 79 contemporary apartments and beautiful communal pool facilities.|" 
                       "|no| 1 year ago.|3859644|2018-08-28
